mbid,artist_mb,artist_lastfm,country_mb,country_lastfm,tags_mb,tags_lastfm,listeners_lastfm,scrobbles_lastfm,ambiguous_artist
2eada8f8-056a-4093-bbc2-004909ce743b,Broken Social Scene,Broken Social Scene,Canada,Canada,rock; post-rock; experimental; canadian; shoegazing; indie rock; indie; pop montréal; art rock; baroque pop; rock and indie,indie; indie rock; Canadian; seen live; post-rock; alternative; rock; indie pop; experimental; Broken social scene; ambient; canada; alternative rock; instrumental; electronic; post rock; baroque pop; pop; toronto; arts and crafts; art rock; Mellow; favorites; 00s; chillout; electronica; female vocalists; Supergroup; chill; shoegaze; folk; post-punk; emo; canadian indie; Favorite; Lo-Fi; Experimental Rock; Progressive rock; chamber pop,1441052,53586116,FALSE
d24fb461-dee8-41fc-bb15-2f13bb2644a6,Jessie J,Jessie J,United Kingdom,United Kingdom,pop; soul; r&b,pop; british; female vocalists; rnb; singer-songwriter; dance; jessie j; soul; Hip-Hop; electronic; r&b; seen live; female vocalist; pop rock; UK; alternative; english; 10s; chillout; britpop; electropop; hip hop; chill; world; 3; Skitz0rz; uitluisteren artist; holloween skitz0rz; female; rock; england; diva; World Music; cool; price tag; my dance room,1438878,30037761,FALSE
88a8d8a9-7c9b-4f7b-8700-7f0f7a503688,James Morrison,James Morrison,United Kingdom,United Kingdom,rock; pop; soul; adult contemporary; pop rock; blue-eyed soul; pop and chart; pop soul; singer/songwriter,singer-songwriter; british; soul; pop; acoustic; male vocalists; James Morrison; seen live; britpop; rock; pop rock; alternative; indie; jazz; soft rock; UK; male vocalist; Love; 00s; chill; easy listening; Acoustic Rock; english; blues; Blue-Eyed Soul; Mellow; guitar; male; favorites; folk; romantic; beautiful; chillout; james; alternative rock; indie pop; amazing; Ballad; Morrison; broken strings,1434050,22597493,FALSE
942a9807-9c1a-4a0e-a285-1fde2c5be9d1,Big Sean,Big Sean,United States,United States,pop rap,Hip-Hop; rap; hip hop; good music; big sean; Michigan; detroit; seen live; alternative hip-hop; Wiz Khalifa; american; yung dynasty; swag; hipster rap; midwest rap; west coast; male vocalists; Kanye West; detroit rap; michigan rap; pop; new wave; progressive rap; new hip-hop artist; USA; dance; alternative rap; Midwest; Hip Hop/Rap; hip-hop/rap; boi; vocal; dirty; club; porn; marijuana; horny; pop rap; weed; Movies; United States; santa monica; All; Lil Wayne; white rap; stellar; fuck music; Drake; GANGBANG MUSIC; kayne west; Ill Shit; powerfuck; tyga; Deebo Mac; Finally Famous; plus tax philly,1429902,18434685,FALSE
bf0f7e29-dfe1-416c-b5c6-f9ebc19ea810,Bee Gees,Bee Gees,United Kingdom,Australia; United Kingdom,rock; pop; dance; british; uk; disco; baroque pop; soft rock; psychedelic pop; pop rock; blue-eyed soul; english; classic pop and rock,Disco; pop; 70s; classic rock; oldies; Bee Gees; rock; dance; 80s; soft rock; british; 60s; male vocalists; funk; australian; soul; baroque pop; psychedelic pop; pop rock; singer-songwriter; adult contemporary; UK; Soundtrack; Pop-Rock; legends; Blue-Eyed Soul; english; 90s; australia; favorites; psychedelic,1424922,21981146,FALSE
592a3b6d-c42b-4567-99c9-ecf63bd66499,Chuck Berry,Chuck Berry,United States,United States,rock; jazz; american; blues; usa; rock n roll; blues rock; rock and roll; classic pop and rock; novelty; rock & roll; rhythm & blues,Rock and Roll; classic rock; blues; rock n roll; rock; rockabilly; oldies; 50s; american; guitar; 60s; seen live; Rock 'n' Roll; chuck berry; rhythm and blues; blues rock; rock'n'roll; singer-songwriter; male vocalists; classic; USA; legend; rock-n-roll; rock & roll; jazz; Missouri; 70s; soul; pop; 50's; Soundtrack; rnb; st. louis; guitar virtuoso,1421709,16860769,FALSE
aab5c954-cabe-432e-899e-1c4f99757327,Toto,Toto,United States,,rock; jazz; american; hard rock; usa; américain; soft rock; pop rock; neo-progressive rock; jazz fusion; aor; classic pop and rock; west coast rock,rock; classic rock; 80s; Progressive rock; pop,1420201,21326087,FALSE
e6de1f3b-6484-491c-88dd-6d619f142abc,Hans Zimmer,Hans Zimmer,United States,Germany,soundtrack; classical; german; soundtrack composer; game; video game; score; film score; contemporary classical; european; vgm; video game music; film soundtrack; film composer; soundtracks; modern classical; academy award winner; television music,Soundtrack; instrumental; Classical; composer; Soundtracks; german; score; Hans Zimmer; orchestral; composers; contemporary classical; ost; movie score composers; ambient; electronic; epic; movie soundtrack; film score; new age; movie score; film music; chillout; movie; germany; neoclassical,1419727,72430364,FALSE
328d146c-79f1-4eb6-9e40-8ee5710c14e5,Imogen Heap,Imogen Heap,United Kingdom,United Kingdom,alternative rock; british; uk; britannique; synth-pop; producer; indie pop; piano pop rock; indietronica; producteur,female vocalists; indie; electronic; singer-songwriter; alternative; electronica; indie pop; british; pop; seen live; chillout; imogen heap; female vocalist; ambient; female; rock; trip-hop; indie rock; experimental; favorites; chill; beautiful; electropop; downtempo; UK; Mellow; english; indietronica; piano; electro; synthpop; 00s; Love; dance; alternative rock; england; female vocals; Favorite; female singer-songwriter; frou frou; Imogen; folk; atmospheric; ethereal; easy listening; dream pop; alternative pop; relax; indie electronica; trip hop; melancholy; female vocal,1419377,36973937,FALSE
a81259a0-a2f5-464b-866e-71220f2739f1,ZZ Top,ZZ Top,United States,,rock; stoner rock; american; blues; hard rock; blues rock; southern rock; boogie rock; texas; classic pop and rock,classic rock; blues rock; rock; Southern Rock; hard rock,1418144,27205116,FALSE
